"name","type","number","percent"
"car","closure",989790,38.3045813872219
"car","built-in",470282,18.1997748451141
"car","special",264254,10.22655194526
"car","primitive",859673,33.269091822404
"checkmate","closure",485088,48.9647104187086
"checkmate","built-in",201380,20.3272671847573
"checkmate","special",95946,9.68477493946132
"checkmate","primitive",208275,21.0232474570728
"colorspace","closure",358596,45.7622251970694
"colorspace","built-in",143198,18.2742114350689
"colorspace","special",72074,9.19772283810635
"colorspace","primitive",209739,26.7658405297553
"curl","closure",9841,43.202072083937
"curl","built-in",6047,26.5463804381228
"curl","special",1880,8.25321568110979
"curl","primitive",5011,21.9983317968304
"data","closure",44768,44.3801177706842
"data","built-in",18719,18.5568134504431
"data","special",11149,11.0524020064635
"data","primitive",26238,26.0106667724091
"DBI","closure",62612,45.9025527484934
"DBI","built-in",24575,18.0165979970968
"DBI","special",16968,12.4397002976496
"DBI","primitive",32247,23.6411489567602
"digest","closure",28424,32.6277606869002
"digest","built-in",19397,22.2657146792782
"digest","special",11178,12.8311676385509
"digest","primitive",28117,32.2753569952707
"dplyr","closure",421104,37.65731010782
"dplyr","built-in",246673,22.0587827620404
"dplyr","special",111336,9.95624424884172
"dplyr","primitive",339140,30.3276628812979
"foreach","closure",320444,32.4211007698448
"foreach","built-in",220166,22.2754180827029
"foreach","special",118360,11.9751391416873
"foreach","primitive",329411,33.328342005765
"forecast","closure",388104,35.2019533662825
"forecast","built-in",148312,13.4522501897947
"forecast","special",102170,9.26706134292118
"forecast","primitive",463921,42.0787351010016
"Formula","closure",13934,33.855723206259
"Formula","built-in",9200,22.3534271205384
"Formula","special",2384,5.79245328862648
"Formula","primitive",15639,37.9983963845761
"gdata","closure",10619,40.8281748625476
"gdata","built-in",6451,24.8029528240225
"gdata","special",2259,8.68545503479565
"gdata","primitive",6680,25.6834172786343
"ggplot2","closure",80333,44.7924391535867
"ggplot2","built-in",44790,24.9742117148513
"ggplot2","special",12001,6.69157210962112
"ggplot2","primitive",42221,23.541777021941
"gridExtra","closure",943737,33.1013024292394
"gridExtra","built-in",489758,17.1781202550493
"gridExtra","special",188701,6.61863301926268
"gridExtra","primitive",1228861,43.1019442964487
"highr","closure",4673,27.749406175772
"highr","built-in",3127,18.5688836104513
"highr","special",1732,10.2850356294537
"highr","primitive",7308,43.396674584323
"htmlwidgets","closure",16056,48.0905741755773
"htmlwidgets","built-in",8756,26.2257764998353
"htmlwidgets","special",2487,7.4490070985713
"htmlwidgets","primitive",6088,18.2346422260161
"iterators","closure",3357,42.8352685976777
"iterators","built-in",1879,23.9760112287865
"iterators","special",693,8.84266938879673
"iterators","primitive",1908,24.3460507847391
"jsonlite","closure",17661,47.9189277186889
"jsonlite","built-in",9447,25.6321901454309
"jsonlite","special",2645,7.17657911873236
"jsonlite","primitive",7103,19.2723030171478
"knitr","closure",15132,45.2836964328465
"knitr","built-in",8431,25.2304285372277
"knitr","special",2191,6.55673928656931
"knitr","primitive",7662,22.9291357433565
"lazyeval","closure",9698,42.1377362589615
"lazyeval","built-in",5400,23.4629589398219
"lazyeval","special",1871,8.12948077340865
"lazyeval","primitive",6046,26.2698240278079
"lubridate","closure",109546,42.6003702148179
"lubridate","built-in",39397,15.3207491405727
"lubridate","special",31979,12.4360290571966
"lubridate","primitive",76226,29.6428515874127
"magrittr","closure",11992,39.0034476029402
"magrittr","built-in",7130,23.1900084563846
"magrittr","special",2987,9.71508488909126
"magrittr","primitive",8637,28.0914590515839
"markdown","closure",8012,42.1639827386591
"markdown","built-in",4931,25.9499000105252
"markdown","special",1363,7.17292916535102
"markdown","primitive",4696,24.7131880854647
"mvtnorm","closure",29755,31.3147896736442
"mvtnorm","built-in",17616,18.5394500047359
"mvtnorm","special",8266,8.69931276902514
"mvtnorm","primitive",39382,41.4464475525947
